"Player","SC","MC","LC","Alley","Cutting","Driving","Dunk","Fadeaway","Hook","Jump","Layup","Pullup","Running","Stepback","Tip","Turnaround","FTp","REBp","ASTp","TOVp","STLp","BLKp","ASD"
"Dorell Wright",0.485714285714286,0.235294117647059,0.35,0,0,0.709677419354839,1,0,0.5,0.348370927318296,0.44,0.5,0.5,0.5,0.833333333333333,0,0.774774774774775,0.191867852604828,0.0667090216010165,0.0362134688691233,0.0273189326556544,0.01715374841169,5.52026
"Dorian FinneySmith",0,0,0,1,1,0.680851063829787,0.875,0,0,0.293838862559242,0.631578947368421,0.6,0.727272727272727,0,0,0.5,0.75,0.142037302725968,0.0444763271162123,0.0315638450502152,0.0296508847441416,0.013868962219034,0
"Doron Lamb",0.55,0.451612903225806,0.407407407407407,0,0,0.285714285714286,0,0,1,0.393700787401575,0.714285714285714,0.666666666666667,0.555555555555556,1,0,0,0.805555555555556,0.0703012912482066,0.0616929698708752,0.0387374461979914,0.0157819225251076,0.00143472022955524,6.84887
"Doug McDermott",0.614213197969543,0.425249169435216,0.418803418803419,0.833333333333333,1,0.557471264367816,0.666666666666667,0.391304347826087,0.333333333333333,0.419753086419753,0.682926829268293,0.510869565217391,0.776699029126214,0.7,0,0.4,0.850515463917526,0.112698000519346,0.0360945209036614,0.032199428719813,0.00986756686574916,0.00389509218384835,5.79619
"Dragan Bender",0.53448275862069,0.292682926829268,0.341902313624679,1,1,0.644736842105263,1,0.5,0.230769230769231,0.348623853211009,0.5625,0.461538461538462,0.594594594594595,0,0,0.466666666666667,0.693548387096774,0.17535903250189,0.0578231292517007,0.054421768707483,0.0120937263794407,0.0283446712018141,5.77456
"Draymond Green",0.568807339449541,0.369627507163324,0.337443218689163,0.833333333333333,0.953125,0.688888888888889,0.921348314606742,0.416666666666667,0.555555555555556,0.308600337268128,0.648241206030151,0.493562231759657,0.747330960854093,0.428571428571429,0.460526315789474,0.51219512195122,0.701348747591522,0.249704641350211,0.175696202531646,0.0733333333333333,0.050042194092827,0.0405907172995781,3.67853
"Drew Gooden",0.518518518518518,0.420634920634921,0.397590361445783,0,0,0.8,1,0,0,0.413502109704641,0.514285714285714,0.571428571428571,0.666666666666667,1,0.515151515151515,1,0.788235294117647,0.269993602047345,0.0492642354446577,0.037108125399872,0.0249520153550864,0.017274472168906,4.44181
"Dwayne Bacon",0.333333333333333,0.344444444444444,0.261904761904762,0,0,0.730769230769231,0,0,0,0.307692307692308,0.571428571428571,0.36,0.833333333333333,0.333333333333333,0,0,0.8,0.174402250351617,0.0534458509142053,0.0323488045007032,0.0225035161744023,0.00281293952180028,5.16243
"Dwight Howard",0.533391153512576,0.318181818181818,0.192307692307692,0.898635477582846,0.976190476190476,0.634228187919463,0.934065934065934,0.25,0.457556935817805,0.408713692946058,0.735930735930736,0.2,0.872340425531915,0.4,0.564102564102564,0.492424242424242,0.537463373796568,0.386852325471251,0.0462252533863787,0.0841148053424268,0.0254807236904424,0.0489722459031922,0.65335
"Dwight Powell",0.741573033707865,0.34703196347032,0.286624203821656,0.848484848484849,0.98,0.616161616161616,0.902439024390244,0.4,0.5,0.35632183908046,0.712121212121212,0.333333333333333,0.853211009174312,0.363636363636364,1,0.580645161290323,0.736170212765957,0.255808143892081,0.0459655258556083,0.0337247064701474,0.0414688983262553,0.023732200849363,2.23781
"Dwyane Wade",0.588056680161943,0.399797570850202,0.305732484076433,0.75,0.9,0.670533642691415,0.971830985915493,0.395833333333333,0.468085106382979,0.379418344519016,0.693160813308688,0.510714285714286,0.748743718592965,0.469387755102041,0.421052631578947,0.520754716981132,0.767425810904072,0.136722272317403,0.144950405770965,0.0905094679891794,0.0404643823264202,0.0185978358881876,4.60025
"Earl Clark",0.761904761904762,0.371428571428571,0.34020618556701,0,0,0.611111111111111,1,0.666666666666667,0,0.366834170854271,0.75,1,0.75,0,0,1,0.535714285714286,0.189155107187894,0.0239596469104666,0.0453972257250946,0.0239596469104666,0.0290037831021438,6.12432
"Ed Davis",0.628260869565217,0.459459459459459,0,0.75,0.96,0.688172043010753,0.95,1,0.592105263157895,0.498154981549816,0.71264367816092,0,0.680851063829787,0,0.587628865979381,0.480519480519481,0.559347181008902,0.338082517067379,0.0408132977144553,0.039329177797566,0.0252300385871178,0.0425942416147225,0.48272
"Ekpe Udoh",0.5,0.425,0,0.5,1,0.615384615384615,1,0,0.416666666666667,0.419354838709677,0.693548387096774,0,0.666666666666667,0,0.545454545454545,0.428571428571429,0.705357142857143,0.185779816513761,0.0527522935779817,0.0372706422018349,0.0378440366972477,0.0716743119266055,0.95146
"Elfrid Payton",0.632911392405063,0.374524714828897,0.314984709480122,0,1,0.760180995475113,0.875,0.142857142857143,0.4,0.381333333333333,0.695744680851064,0.49236641221374,0.681318681318681,0.538461538461538,0.222222222222222,0.4,0.614540466392318,0.14099939795304,0.217218543046358,0.0809151113786875,0.0461167971101746,0.0115593016255268,2.95438
"Elijah Millsap",0.605263157894737,0.44,0.297619047619048,0,0,0.684210526315789,0.666666666666667,0,0,0.352112676056338,0.612244897959184,1,0.454545454545455,0,0.555555555555556,0,0.679245283018868,0.170535714285714,0.0696428571428571,0.0696428571428571,0.05625,0.0169642857142857,3.11328
"Elliot Williams",0.622222222222222,0.357142857142857,0.336363636363636,1,0,0.823529411764706,1,0,0,0.325966850828729,0.594594594594595,0.714285714285714,0.75,0.666666666666667,0,0,0.72,0.108763693270736,0.0657276995305164,0.0539906103286385,0.0289514866979656,0.00234741784037559,4.01306
"Elton Brand",0.522388059701492,0.476190476190476,0,0,0,0.875,1,0.444444444444444,1,0.474885844748858,0.772727272727273,0.75,1,0.5,0.75,0,0.642857142857143,0.246240601503759,0.0535714285714286,0.0418233082706767,0.031015037593985,0.0568609022556391,2.20409
"Emmanuel Mudiay",0.630718954248366,0.349896480331263,0.318785578747628,0.363636363636364,1,0.720930232558139,1,0.371428571428571,0,0.340571428571429,0.516431924882629,0.455621301775148,0.717741935483871,0.25609756097561,0,0.555555555555556,0.73568281938326,0.119148936170213,0.167848699763593,0.0973995271867612,0.0300236406619385,0.0122931442080378,5.51153
"Enes Freedom",0.634819532908705,0.392717815344603,0.239583333333333,0.5,1,0.70125786163522,0.935251798561151,0.509803921568627,0.578947368421053,0.423676012461059,0.796218487394958,0.55,0.853146853146853,0.333333333333333,0.505050505050505,0.547619047619048,0.7875,0.350062266500623,0.038480697384807,0.0692403486924035,0.0168119551681196,0.0202988792029888,1.71259
"Eric Bledsoe",0.573896353166987,0.416666666666667,0.347713546160483,0.769230769230769,0,0.722143864598025,0.947368421052632,0.461538461538462,0.5,0.358018636586562,0.633416458852868,0.519450800915332,0.745967741935484,0.3515625,0.4,0.714285714285714,0.808814400993172,0.139009287925697,0.175128998968008,0.0987616099071207,0.0510835913312693,0.0153766769865841,5.17765
"Eric Gordon",0.628062360801782,0.404210526315789,0.392539964476021,1,1,0.716738197424893,0.714285714285714,0.459459459459459,0.2,0.380540540540541,0.582872928176796,0.534246575342466,0.680722891566265,0.56,0.142857142857143,0.75,0.819397993311037,0.0791388418219874,0.0897039768763082,0.0578092295425097,0.0258148111232931,0.010764477225157,8.12914
"Eric Moreland",0.736842105263158,0.333333333333333,0,0.833333333333333,1,0.478260869565217,0.909090909090909,0,0.545454545454545,0.470588235294118,0.657142857142857,0,0.875,0,0.666666666666667,0.333333333333333,0.393939393939394,0.339181286549708,0.0923976608187135,0.0514619883040936,0.0362573099415205,0.064327485380117,0.45918
"Ersan Ilyasova",0.602857142857143,0.436619718309859,0.359271523178808,0.666666666666667,0.928571428571429,0.577889447236181,0.818181818181818,0.459770114942529,0.647058823529412,0.391194331983806,0.682515337423313,0.485294117647059,0.77027027027027,0.443548387096774,0.326530612244898,0.576923076923077,0.756487025948104,0.215621380109217,0.045838159854377,0.0400463346020189,0.0307794141982459,0.0130729769981797,5.20304
"ETwaun Moore",0.64027149321267,0.434782608695652,0.414364640883978,1,1,0.653386454183267,1,0.481481481481481,0.5,0.434687953555878,0.723076923076923,0.58041958041958,0.711267605633803,0.4,0.6,0.538461538461538,0.720754716981132,0.0919045756746187,0.0775648546473732,0.0372832746708382,0.0320688306609308,0.0105592491200626,5.8343
"Evan Fournier",0.633644859813084,0.406427221172023,0.383696416022488,0.5,1,0.725888324873096,0.9,0.384615384615385,0.666666666666667,0.391969407265774,0.688654353562005,0.493449781659389,0.713235294117647,0.447368421052632,0.25,0.428571428571429,0.805845511482255,0.0988775510204082,0.0829591836734694,0.0562244897959184,0.0288775510204082,0.00316326530612245,6.20439
"Evan Turner",0.59472049689441,0.431245500359971,0.293900184842884,1,1,0.759002770083102,0.953488372093023,0.5,0.714285714285714,0.346600331674959,0.644278606965174,0.572289156626506,0.719101123595506,0.486486486486487,0.571428571428571,0.576470588235294,0.804964539007092,0.158302037100262,0.142255604870832,0.0682826903379993,0.0311824285876864,0.0116080573574599,4.21559
"Festus Ezeli",0.514124293785311,0.142857142857143,0,0.824561403508772,1,0.861111111111111,0.88135593220339,0,0.4375,0.460526315789474,0.738636363636364,0,1,0,0.384615384615385,0.472727272727273,0.566666666666667,0.323899371069182,0.0322327044025157,0.0550314465408805,0.0196540880503145,0.0723270440251572,0.71872
"Francisco Garcia",0.666666666666667,0.272727272727273,0.323529411764706,0,0,0.866666666666667,0,0.428571428571429,0,0.355555555555556,0.666666666666667,0.25,0,0.5,0,0,0.478260869565217,0.108255451713396,0.0607476635514019,0.0311526479750779,0.0280373831775701,0.029595015576324,6.68481
"Frank Kaminsky",0.578048780487805,0.357142857142857,0.349323493234932,1,1,0.656862745098039,1,0.392857142857143,0.538461538461538,0.365714285714286,0.639285714285714,0.5,0.768115942028985,0.216216216216216,0,0.461538461538462,0.765060240963855,0.174142001089522,0.0706373706192119,0.0363174142001089,0.0217904485200654,0.0174323588160523,5.73369
