"Player","Team","SC","MC","LC","Alley","Cutting","Driving","Dunk","Fadeaway","Hook","Jump","Layup","Pullup","Running","Stepback","Tip","Turnaround","FTp","REBp","ASTp","STLp","BLKp","TOp","HomeAway","ASD"
"Blake Griffin","Clippers",0.193666666666667,0.389749702026222,0.324528301886792,0.8,0.9,0.854368932038835,0.91566265060241,0.5,0.455399061032864,0.38530612244898,0.61875,0.540540540540541,0.8,0.408450704225352,0.507042253521127,0.515625,0.742174629324547,0.251297655271165,0.138356899946304,0.0306067657061035,0.0175407195274745,0.0792912117415429,1,3.487
"Bobby Portis","Bulls",0.161577608142494,0.49468085106383,0.39766081871345,0.5,0.833333333333333,0.521739130434783,0.894736842105263,0.5,0.571428571428571,0.437209302325581,0.72,0.517241379310345,1,1,0,0.533333333333333,0.733333333333333,0.309192200557103,0.0540389972144847,0.0217270194986072,0.015041782729805,0.0512534818941504,1,4.271
"Bogdan Bogdanovic","Kings",0.111111111111111,0.568181818181818,0.45679012345679,0.5,0,0.666666666666667,0,0.166666666666667,0,0.456310679611651,0.705882352941177,0.651162790697674,0.777777777777778,0.571428571428571,0,1,0.910714285714286,0.105263157894737,0.127272727272727,0.0354066985645933,0.00956937799043062,0.0593301435406699,1,7.791
"Bojan Bogdanovic","Nets",0.18403660396543,0.435114503816794,0.391666666666667,1,1,0.704545454545455,1,0.3125,0.333333333333333,0.415654520917679,0.697478991596639,0.5,0.862745098039216,0.516129032258065,0.333333333333333,0.588235294117647,0.845454545454545,0.127260769483722,0.0460374876685301,0.0161131206839855,0.00295955277869122,0.0512989148306478,1,6.033
"Bojan Bogdanovic","Pacers",0.195020746887967,0.46551724137931,0.434343434343434,0,1,0.734177215189873,1,0.666666666666667,0,0.460251046025105,0.782608695652174,0.441176470588235,0.923076923076923,0.375,0,0.5,0.81651376146789,0.109327217125382,0.0496941896024465,0.0214067278287462,0.00305810397553517,0.0420489296636086,1,6.033
"Boris Diaw","Jazz",0.12085308056872,0.384615384615385,0.102040816326531,0,1,0.615384615384615,0,0.666666666666667,0.375,0.178082191780822,0.6,0.5,0.714285714285714,0,0,0.291666666666667,0.730769230769231,0.12532637075718,0.134464751958225,0.0169712793733681,0.00783289817232376,0.0691906005221932,1,3.227
"Boris Diaw","Spurs",0.176835081029552,0.371900826446281,0.345029239766082,1,1,0.681818181818182,1,0.6,0.6,0.39906103286385,0.758196721311475,0.6,0.608695652173913,0.5,0.555555555555556,0.790697674418605,0.730337078651685,0.177093358999038,0.120307988450433,0.0179659929419313,0.0141161373115175,0.0567853705486044,1,3.227
"Bradley Beal","Wizards",0.177190542420028,0.423991726990693,0.425287356321839,1,1,0.819397993311037,0.8,0.892857142857143,0,0.33877321328081,0.525096525096525,0.649851632047478,0.884615384615385,0.7,1,0.714285714285714,0.811158798283262,0.105294645527969,0.110230332037092,0.0348489380795692,0.00927310798683817,0.0583308405623691,1,8.098
"Brandan Wright","Mavericks",0.197211155378486,0.294117647058824,0,0.909090909090909,0,0.473684210526316,0.958333333333333,1,0.25,0.419354838709677,0.689655172413793,1,0.722222222222222,0,0.5,0,0.725806451612903,0.219633943427621,0.0316139767054908,0.0232945091514143,0.0532445923460899,0.0249584026622296,1,0.834
"Brandon Bass","Celtics",0.162349968414403,0.45724907063197,0.4,0.857142857142857,0,0.842105263157895,0.941176470588235,0,0.333333333333333,0.457446808510638,0.654676258992806,1,0.8,0,0.541666666666667,0.428571428571429,0.816901408450704,0.212816834050693,0.0439980870396939,0.0119560019129603,0.0248684839789574,0.038259206121473,1,2.294
"Brandon Bass","Lakers",0.165745856353591,0.351351351351351,0,1,1,0.538461538461538,0.962962962962963,0,0.6,0.372881355932203,0.696969696969697,1,0.714285714285714,0,0,0,0.822222222222222,0.207366984993179,0.0627557980900409,0.0150068212824011,0.043656207366985,0.0313778990450205,1,2.294
"Brandon Ingram","Lakers",0.172614712308813,0.390134529147982,0.366412213740458,0.714285714285714,1,0.705035971223022,1,0.2,0.666666666666667,0.340996168582375,0.524590163934426,0.447916666666667,0.790322580645161,0.611111111111111,1,0.388888888888889,0.665271966527197,0.152623976889745,0.0890707751564757,0.0235917188252287,0.0207029369282619,0.0625902744342802,1,4.327
"Brandon Jennings","Knicks",0.104408352668213,0.447368421052632,0.321428571428571,0,0,0.758620689655172,0,0.5,0,0.322147651006711,0.423076923076923,0.6,1,0.777777777777778,0,0,0.733333333333333,0.105580693815988,0.208144796380091,0.0377073906485671,0,0.081447963800905,1,7.374
"Brandon Jennings","Pistons",0.154916512059369,0.378531073446328,0.333333333333333,0,0,0.814285714285714,1,0.777777777777778,0,0.317275747508306,0.508196721311475,0.933333333333333,0.833333333333333,0,0,0,0.776315789473684,0.083502024291498,0.249493927125506,0.0354251012145749,0.00202429149797571,0.0683198380566802,1,7.374
"Brandon Knight","Bucks",0.192447349310094,0.408256880733945,0.372340425531915,1,0,0.943396226415094,0.888888888888889,0,0.333333333333333,0.382262996941896,0.587443946188341,0.25,0.846153846153846,0.6,0.25,0,0.828685258964143,0.108445777111444,0.158920539730135,0.0369815092453773,0.00649675162418791,0.0819590204897551,1,6.522
"Brandon Knight","Suns",0.162764771460424,0.344632768361582,0.293838862559242,0,0,0.567901234567901,1,0,0,0.318181818181818,0.692307692307692,0.317460317460317,0.9375,0.470588235294118,0,0,0.833333333333333,0.111269614835949,0.139800285306705,0.0378031383737518,0.00855920114122682,0.0820256776034237,1,6.522
"Brandon Rush","Warriors",0.0614035087719298,0.5,0.4,1,0,0.615384615384615,1,0.6,0,0.258426966292135,0.5,0.722222222222222,1,1,0,0,0.523809523809524,0.166167664670659,0.0523952095808383,0.0179640718562874,0.0254491017964072,0.0389221556886228,1,6.626
"Brian Roberts","Hornets",0.118997912317328,0.452554744525547,0.368852459016393,0,1,0.565217391304348,0,0,0,0.40234375,0.75,0.7,0.705882352941177,1,0,0,0.878787878787879,0.0718623481781376,0.12753036437247,0.0161943319838057,0.00607287449392713,0.0506072874493927,1,7.203
"Brian Roberts","Pelicans",0.132867132867133,0.469387755102041,0.402597402597403,0,0,0.9,0,1,0,0.403755868544601,0.518518518518518,0.857142857142857,0.8,0.666666666666667,0,0,0.943396226415094,0.0808561236623068,0.136741973840666,0.0237812128418549,0.00713436385255648,0.0582639714625446,1,7.203
"Brook Lopez","Lakers",0.0599895670318206,0.106796116504854,0.349112426035503,0.3125,1,0.262135922330097,0.275862068965517,0.166666666666667,0.177083333333333,0.19672131147541,0.123809523809524,0.3,0.571428571428571,0.2,0,0.275862068965517,0.69620253164557,0.186915887850467,0.0782710280373832,0.0210280373831776,0.0537383177570093,0.0572429906542056,1,3.822
"Brook Lopez","Nets",0.289730134932534,0.715447154471545,0.389423076923077,0.88,1,0.974358974358974,0.67741935483871,0.789473684210526,0.671497584541063,0.6,0.983333333333333,1,0.666666666666667,0.6,0.4,0.863636363636364,0.796178343949045,0.22499376403093,0.0528810177101522,0.0212022948366176,0.0493888750311798,0.0658518333749065,1,3.822
