"Player","P2p","P3p","FTp","FTA","P2A","P3A","BLKp","TOVp","ASTp","REBp","PTSp","STLp"
"Michael CarterWilliams",0.364705882352941,0.23728813559322,0.820224719101124,89,170,59,0.0275449101796407,0.0622754491017964,0.138922155688623,0.165269461077844,0.28622754491018,0.0526946107784431
"Dwayne Bacon",0.409395973154362,0.255813953488372,0.8,25,149,43,0.00280504908835905,0.032258064516129,0.0532959326788219,0.173913043478261,0.245441795231417,0.0224403927068724
"Cody Zeller",0.542483660130719,0.666666666666667,0.717647058823529,85,153,3,0.0334928229665072,0.0526315789473684,0.0494417862838915,0.282296650717703,0.371610845295056,0.0223285486443381
"Justin Holiday",0.387387387387387,0.358574610244989,0.823170731707317,164,333,449,0.0136865342163355,0.0410596026490066,0.0675496688741722,0.128476821192053,0.386754966887417,0.0353200883002208
"Denzel Valentine",0.45014245014245,0.386486486486486,0.745098039215686,51,351,370,0.00525059665871122,0.047255369928401,0.116467780429594,0.187589498806683,0.373747016706444,0.0310262529832936
"Lauri Markkanen",0.496746203904555,0.361596009975062,0.843373493975904,166,461,401,0.0198019801980198,0.0410891089108911,0.0391089108910891,0.251485148514851,0.511386138613861,0.0193069306930693
"Robin Lopez",0.535657686212361,0.285714285714286,0.755555555555556,90,631,14,0.0313609467455621,0.0633136094674556,0.0733727810650888,0.171597633136095,0.447337278106509,0.00828402366863905
"Jerian Grant",0.468354430379747,0.32620320855615,0.74468085106383,188,316,187,0.00474495848161329,0.0527876631079478,0.202846975088968,0.102016607354686,0.367141162514828,0.0373665480427046
"David Nwaba",0.495956873315364,0.346153846153846,0.655172413793104,203,371,52,0.0176184690157959,0.0467800729040097,0.06318347509113,0.198055893074119,0.337181044957473,0.0358444714459295
"Bobby Portis",0.513605442176871,0.358744394618834,0.769230769230769,156,588,223,0.0139987827145466,0.0626902008520998,0.0748630553864881,0.303104077906269,0.586731588557517,0.0304321363359708
"Kris Dunn",0.456766917293233,0.32089552238806,0.736842105263158,114,532,134,0.0177049180327869,0.0983606557377049,0.20327868852459,0.144918032786885,0.458360655737705,0.0681967213114754
"Cristiano Felicio",0.596244131455399,0,0.666666666666667,81,213,2,0.0112589559877175,0.0552712384851586,0.0562947799385875,0.238485158648925,0.31525076765609,0.0163766632548618
"Paul Zipser",0.354838709677419,0.336363636363636,0.76,25,124,110,0.0182038834951456,0.0521844660194175,0.0558252427184466,0.158980582524272,0.264563106796116,0.0242718446601942
"Zach LaVine",0.405172413793103,0.341463414634146,0.813084112149533,107,232,123,0.00609756097560976,0.0655487804878049,0.109756097560976,0.143292682926829,0.611280487804878,0.0365853658536585
"Nikola Mirotic",0.524822695035461,0.428571428571429,0.822784810126582,79,141,161,0.0209003215434084,0.0498392282958199,0.0627009646302251,0.255627009646302,0.67524115755627,0.0241157556270096
"Cameron Payne",0.419354838709677,0.384615384615385,0.75,16,124,91,0.0154639175257732,0.0618556701030928,0.194158075601375,0.118556701030928,0.379725085910653,0.0446735395189003
"LeBron James",0.603066439522998,0.366995073891626,0.730696798493409,531,1174,406,0.0234633179114342,0.114672835426305,0.246860541969597,0.234302709847984,0.743886318572373,0.0383344348975545
"JR Smith",0.453271028037383,0.375328083989501,0.696428571428571,56,214,381,0.00490196078431373,0.036096256684492,0.0628342245989305,0.104723707664884,0.295008912655971,0.0303030303030303
"Jeff Green",0.540178571428571,0.311764705882353,0.867521367521368,234,448,170,0.0185995623632385,0.0410284463894967,0.0541575492341357,0.134573304157549,0.462800875273523,0.0224288840262582
"Kevin Love",0.493734335839599,0.415151515151515,0.879699248120301,266,399,330,0.0145366444579043,0.0545124167171411,0.0623864324651726,0.330708661417323,0.62931556632344,0.0260448213204119
"Kyle Korver",0.537037037037037,0.436170212765958,0.888888888888889,72,108,376,0.01715374841169,0.0349428208386277,0.0559085133418043,0.104828462515883,0.426937738246506,0.0196950444726811
"Jae Crowder",0.508021390374332,0.328042328042328,0.847826086956522,92,187,189,0.00891530460624071,0.0312035661218425,0.0430906389301634,0.12852897473997,0.337295690936107,0.0304606240713224
"Tristan Thompson",0.561702127659575,0,0.544303797468354,79,235,0,0.0158582089552239,0.0335820895522388,0.0307835820895522,0.328358208955224,0.286380597014925,0.0149253731343284
"Dwyane Wade",0.47945205479452,0.328571428571429,0.701492537313433,134,365,70,0.0299345182413471,0.0860617399438728,0.152478952291862,0.169317118802619,0.479887745556595,0.039289055191768
